date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.0059002418653218425,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.0007504414041683283,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,-0.003118940304336376,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.0078099351422171726,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.014220088462310015,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.01566858736247803,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.01636708626264599,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.023147054277339957,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.02444134886933988,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.007789847769507863,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.0010523256654672297,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.005611918142966715,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,0.0021834192427987453,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,0.0020649203426307827,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.003770310751201683,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.002663139828042116,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.004010039510109031,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.006734242998419432,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.009243838842329877,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.009045339942161945,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.008756841041993896,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.010069458713013735,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.010350959812845728,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.010957918265192296,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.008745122145128292,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.011907549047491084,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.011349050147323153,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.010660551247155148,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,0.004258900640204066,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,0.00028330922050753826,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,-0.0006551896796604395,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.0018960141969919242,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,0.0018559903072881967,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,0.001417491407120136,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,0.0013589925069521502,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,0.0013704936067841789,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.0008055306110210936,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.010274039235621313,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,-0.006005508836675139,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.005214007736843135,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.003452506637011077,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,0.0028089944628209296,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,0.0012517492622985127,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.005739907912967801,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.0019146456102984988,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.002206174267133515,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,0.005345326832698505,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.015496827932530571,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.023748329032362486,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.03252878986979513,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.026630290969627157,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.04020370496074596,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.04137668601879824,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.04395267253652957,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.042654173636361564,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.040285674736193544,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.06200405409140142,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.05313722734585166,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.05049872844568365,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.04394465459743285,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-03,0.03432363227592025,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-04,0.032245133375752244,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-05,0.03112663447558428,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-06,0.030848135575416297,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-07,0.02859242511337512,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-08,0.027893926213207132,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-09,0.03261554833622429,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-10,0.02881323239659217,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-11,0.02943473349642417,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-12,0.029126234596256212,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-13,0.03009650801402483,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-14,0.03119160538009702,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-15,0.03265196646412502,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-16,0.027245027201863864,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-17,0.029118911807562764,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-18,0.02813041290739479,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-19,0.028141914007226793,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-20,0.029392545600102737,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-21,0.029754046699934728,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-22,0.03297544534055949,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
