date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.005526111555778479,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.016824588399608487,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.0019165779501077174,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.008349894968514765,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.002226492792387902,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.011465635798837637,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.011930259283639721,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.011514882768441898,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.0092921798948776,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.04819725848006626,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.04408502084823257,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.03485787927069084,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.021632686343659002,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,-0.016997309828461066,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,-0.015191933313263267,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.012675796177682136,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,-0.0052513521356941095,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,-0.0020781372731968895,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.003127318581562677,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.001492223799453657,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,-0.0011268472842558552,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,-0.00030147076905800985,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.004730569337690338,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.008201672823865191,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.0019143820774357168,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0005605729469038978,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.01353843527659579,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.013533811791793637,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.013979188306991519,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.0037853222169195733,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.0015870814917129106,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.008483318823260338,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,0.004584458694524424,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.0034588085314294914,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.0024634320162316703,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,-0.0015680555010339492,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.010738907001152626,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.014604664023882302,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,-0.006900021307590626,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,-0.0021252881509078447,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.02397959092541696,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.016524214410219118,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
