date,benzina_pump,gasolio_pump,tax_wedge_benz,tax_wedge_gas,benzina_net,gasolio_net
2015-01-01,1.54683,1.44894,1.01317,0.88536,0.53366,0.56358
2015-01-02,1.54652,1.44869,1.01317,0.88536,0.53335,0.56333
2015-01-03,1.54146,1.44425,1.01317,0.88536,0.52829,0.55889
2015-01-04,1.53981,1.44281,1.01317,0.88536,0.52664,0.55745
2015-01-05,1.53940,1.44236,0.99993,0.87449,0.53947,0.56787
2015-01-06,1.53674,1.44005,0.99993,0.87449,0.53681,0.56556
2015-01-07,1.53560,1.43897,0.99993,0.87449,0.53567,0.56448
2015-01-08,1.53080,1.43435,0.99993,0.87449,0.53087,0.55986
2015-01-09,1.52638,1.43003,0.99993,0.87449,0.52645,0.55554
2015-01-10,1.52105,1.42472,0.99993,0.87449,0.52112,0.55023
2015-01-11,1.51841,1.42208,0.99993,0.87449,0.51848,0.54759
2015-01-12,1.51770,1.42124,0.99399,0.86767,0.52371,0.55357
2015-01-13,1.51318,1.41651,0.99399,0.86767,0.51919,0.54884
2015-01-16,1.50088,1.40359,0.99399,0.86767,0.50689,0.53592
2015-01-17,1.49721,1.39967,0.99399,0.86767,0.50322,0.53200
2015-01-18,1.49527,1.39766,0.99399,0.86767,0.50128,0.52999
2015-01-19,1.49479,1.39711,0.98957,0.86264,0.50522,0.53447
2015-01-20,1.49126,1.39345,0.98957,0.86264,0.50169,0.53081
2015-01-21,1.48863,1.39083,0.98957,0.86264,0.49906,0.52819
2015-01-22,1.53933,1.44362,0.98957,0.86264,0.54976,0.58098
2015-01-23,1.53812,1.44229,0.98957,0.86264,0.54855,0.57965
2015-01-24,1.53721,1.44135,0.98957,0.86264,0.54764,0.57871
2015-01-25,1.53709,1.44121,0.98957,0.86264,0.54752,0.57857
2015-01-26,1.53726,1.44134,0.98754,0.86048,0.54972,0.58086
2015-01-27,1.53713,1.44120,0.98754,0.86048,0.54959,0.58072
2015-01-28,1.53759,1.44160,0.98754,0.86048,0.55005,0.58112
2015-01-29,1.53810,1.44203,0.98754,0.86048,0.55056,0.58155
2015-01-30,1.53832,1.44219,0.98754,0.86048,0.55078,0.58171
2015-01-31,1.53861,1.44242,0.98754,0.86048,0.55107,0.58194
2015-02-01,1.53850,1.44232,0.98754,0.86048,0.55096,0.58184
2015-02-02,1.53879,1.44255,0.98910,0.86196,0.54969,0.58059
2015-02-03,1.53939,1.44308,0.98910,0.86196,0.55029,0.58112
2015-02-04,1.54258,1.44596,0.98910,0.86196,0.55348,0.58400
2015-02-05,1.54782,1.45078,0.98910,0.86196,0.55872,0.58882
2015-02-06,1.55182,1.45461,0.98910,0.86196,0.56272,0.59265
2015-02-07,1.55539,1.45822,0.98910,0.86196,0.56629,0.59626
2015-02-08,1.55698,1.45997,0.98910,0.86196,0.56788,0.59801
2015-02-09,1.55787,1.46084,0.99479,0.86765,0.56308,0.59319
2015-02-10,1.56195,1.46469,0.99479,0.86765,0.56716,0.59704
2015-02-11,1.56718,1.46956,0.99479,0.86765,0.57239,0.60191
2015-02-12,1.57130,1.47349,0.99479,0.86765,0.57651,0.60584
2015-02-13,1.57362,1.47588,0.99479,0.86765,0.57883,0.60823
2015-02-14,1.57559,1.47810,0.99479,0.86765,0.58080,0.61045
2015-02-15,1.57706,1.47977,0.99479,0.86765,0.58227,0.61212
2015-02-16,1.57799,1.48079,1.00136,0.87418,0.57663,0.60661
2015-02-17,1.58147,1.48449,1.00136,0.87418,0.58011,0.61031
2015-02-18,1.58421,1.48750,1.00136,0.87418,0.58285,0.61332
2015-02-19,1.58601,1.48969,1.00136,0.87418,0.58465,0.61551
2015-02-20,1.58718,1.49116,1.00136,0.87418,0.58582,0.61698
2015-02-21,1.58829,1.49249,1.00136,0.87418,0.58693,0.61831
2015-02-22,1.58907,1.49338,1.00136,0.87418,0.58771,0.61920
2015-02-23,1.58965,1.49399,1.00497,0.87825,0.58468,0.61574
2015-02-24,1.59126,1.49582,1.00497,0.87825,0.58629,0.61757
2015-02-25,1.59257,1.49724,1.00497,0.87825,0.58760,0.61899
