date,benzina_pump,gasolio_pump,tax_wedge_benz,tax_wedge_gas,benzina_net,gasolio_net
2015-01-01,1.54377,1.44599,1.01317,0.88536,0.53060,0.56063
2015-01-02,1.54347,1.44575,1.01317,0.88536,0.53030,0.56039
2015-01-03,1.53821,1.44114,1.01317,0.88536,0.52504,0.55578
2015-01-04,1.53663,1.43973,1.01317,0.88536,0.52346,0.55437
2015-01-05,1.53621,1.43928,0.99993,0.87449,0.53628,0.56479
2015-01-06,1.53347,1.43691,0.99993,0.87449,0.53354,0.56242
2015-01-07,1.53241,1.43589,0.99993,0.87449,0.53248,0.56140
2015-01-08,1.52777,1.43142,0.99993,0.87449,0.52784,0.55693
2015-01-09,1.52337,1.42709,0.99993,0.87449,0.52344,0.55260
2015-01-10,1.51794,1.42169,0.99993,0.87449,0.51801,0.54720
2015-01-11,1.51529,1.41904,0.99993,0.87449,0.51536,0.54455
2015-01-12,1.51463,1.41825,0.99399,0.86767,0.52064,0.55058
2015-01-13,1.51012,1.41352,0.99399,0.86767,0.51613,0.54585
2015-01-16,1.49778,1.40059,0.99399,0.86767,0.50379,0.53292
2015-01-17,1.49410,1.39665,0.99399,0.86767,0.50011,0.52898
2015-01-18,1.49214,1.39462,0.99399,0.86767,0.49815,0.52695
2015-01-19,1.49169,1.39410,0.98957,0.86264,0.50212,0.53146
2015-01-20,1.48809,1.39035,0.98957,0.86264,0.49852,0.52771
2015-01-21,1.48544,1.38771,0.98957,0.86264,0.49587,0.52507
2015-01-22,1.52588,1.43018,0.98957,0.86264,0.53631,0.56754
2015-01-23,1.52458,1.42875,0.98957,0.86264,0.53501,0.56611
2015-01-24,1.52359,1.42772,0.98957,0.86264,0.53402,0.56508
2015-01-25,1.52349,1.42759,0.98957,0.86264,0.53392,0.56495
2015-01-26,1.52367,1.42774,0.98754,0.86048,0.53613,0.56726
2015-01-27,1.52352,1.42760,0.98754,0.86048,0.53598,0.56712
2015-01-28,1.52398,1.42801,0.98754,0.86048,0.53644,0.56753
2015-01-29,1.52452,1.42847,0.98754,0.86048,0.53698,0.56799
2015-01-30,1.52476,1.42863,0.98754,0.86048,0.53722,0.56815
2015-01-31,1.52504,1.42884,0.98754,0.86048,0.53750,0.56836
2015-02-01,1.52491,1.42872,0.98754,0.86048,0.53737,0.56824
2015-02-02,1.52523,1.42898,0.98910,0.86196,0.53613,0.56702
2015-02-03,1.52587,1.42955,0.98910,0.86196,0.53677,0.56759
2015-02-04,1.52925,1.43258,0.98910,0.86196,0.54015,0.57062
2015-02-05,1.53473,1.43760,0.98910,0.86196,0.54563,0.57564
2015-02-06,1.53899,1.44171,0.98910,0.86196,0.54989,0.57975
2015-02-07,1.54269,1.44545,0.98910,0.86196,0.55359,0.58349
2015-02-08,1.54438,1.44731,0.98910,0.86196,0.55528,0.58535
2015-02-09,1.54534,1.44824,0.99479,0.86765,0.55055,0.58059
2015-02-10,1.54965,1.45231,0.99479,0.86765,0.55486,0.58466
2015-02-11,1.55518,1.45747,0.99479,0.86765,0.56039,0.58982
2015-02-12,1.55955,1.46163,0.99479,0.86765,0.56476,0.59398
2015-02-13,1.56203,1.46415,0.99479,0.86765,0.56724,0.59650
2015-02-14,1.56414,1.46652,0.99479,0.86765,0.56935,0.59887
2015-02-15,1.56569,1.46830,0.99479,0.86765,0.57090,0.60065
2015-02-16,1.56672,1.46938,1.00136,0.87418,0.56536,0.59520
2015-02-17,1.57039,1.47328,1.00136,0.87418,0.56903,0.59910
2015-02-18,1.57329,1.47647,1.00136,0.87418,0.57193,0.60229
2015-02-19,1.57523,1.47881,1.00136,0.87418,0.57387,0.60463
2015-02-20,1.57656,1.48044,1.00136,0.87418,0.57520,0.60626
2015-02-21,1.57776,1.48191,1.00136,0.87418,0.57640,0.60773
2015-02-22,1.57859,1.48284,1.00136,0.87418,0.57723,0.60866
2015-02-23,1.57920,1.48347,1.00497,0.87825,0.57423,0.60522
2015-02-24,1.58090,1.48543,1.00497,0.87825,0.57593,0.60718
2015-02-25,1.58232,1.48696,1.00497,0.87825,0.57735,0.60871
2015-02-26,1.55569,1.45843,1.00497,0.87825,0.55072,0.58018
2015-02-27,1.55297,1.45559,1.00497,0.87825,0.54800,0.57734
2015-02-28,1.55258,1.45377,1.00497,0.87825,0.54761,0.57552
2015-03-01,1.55258,1.45377,1.00497,0.87825,0.54761,0.57552
2015-03-02,1.55258,1.45377,1.00733,0.88073,0.54525,0.57304
2015-03-03,1.55604,1.45612,1.00733,0.88073,0.54871,0.57539
2015-03-04,1.55886,1.45790,1.00733,0.88073,0.55153,0.57717
2015-03-05,1.56158,1.45921,1.00733,0.88073,0.55425,0.57848
2015-03-06,1.56331,1.46006,1.00733,0.88073,0.55598,0.57933
2015-03-07,1.56444,1.46056,1.00733,0.88073,0.55711,0.57983
2015-03-08,1.56500,1.46068,1.00733,0.88073,0.55767,0.57995
2015-03-09,1.56616,1.46108,1.01013,0.88219,0.55603,0.57889
2015-03-10,1.56937,1.46195,1.01013,0.88219,0.55924,0.57976
2015-03-11,1.57161,1.46259,1.01013,0.88219,0.56148,0.58040
2015-03-12,1.57302,1.46296,1.01013,0.88219,0.56289,0.58077
2015-03-13,1.57420,1.46332,1.01013,0.88219,0.56407,0.58113
2015-03-14,1.57506,1.46296,1.01013,0.88219,0.56493,0.58077
2015-03-15,1.57585,1.46246,1.01013,0.88219,0.56572,0.58027
2015-03-16,1.57650,1.46265,1.01252,0.88203,0.56398,0.58062
2015-03-17,1.57830,1.46225,1.01252,0.88203,0.56578,0.58022
2015-03-18,1.57915,1.46135,1.01252,0.88203,0.56663,0.57932
2015-03-19,1.57898,1.45987,1.01252,0.88203,0.56646,0.57784
2015-03-20,1.57864,1.45823,1.01252,0.88203,0.56612,0.57620
2015-03-21,1.57859,1.45670,1.01252,0.88203,0.56607,0.57467
2015-03-22,1.57830,1.45565,1.01252,0.88203,0.56578,0.57362
2015-03-23,1.57858,1.45561,1.01299,0.88004,0.56559,0.57557
2015-03-24,1.57871,1.45414,1.01299,0.88004,0.56572,0.57410
2015-03-25,1.57855,1.45272,1.01299,0.88004,0.56556,0.57268
