DATA_RILEVAZIONE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,ACCISA,IVA,NETTO,VARIAZIONE
2005-01-03,1,Benzina,"1.115,75","558,64","185,96","371,15","-1,57"
2005-01-03,2,Gasolio auto,"1.018,28","403,21","169,71","445,36","-0,33"
2005-01-03,5,GPL,"552,5","156,62","92,08","303,8","0,22"
2005-01-03,3,Gasolio riscaldamento,"948,5","403,21","158,08","387,21","-22,55"
2005-01-03,6,O.C. fluido BTZ,"553,25","166,84","50,3","336,11","-12,21"
2005-01-03,8,O.C. denso BTZ,"229,52","31,39",0,"198,13","-5,37"
2005-01-10,1,Benzina,1.088,"558,64","181,33","348,03","-27,75"
2005-01-10,2,Gasolio auto,"1.004,39","403,21","167,4","433,78","-13,89"
2005-01-10,5,GPL,"552,57","156,62","92,09","303,86","0,07"
2005-01-10,3,Gasolio riscaldamento,"947,94","403,21","157,99","386,74","-0,56"
2005-01-10,6,O.C. fluido BTZ,"554,22","166,84","50,38",337,"0,97"
2005-01-10,8,O.C. denso BTZ,"238,37","31,39",0,"206,98","8,85"
2005-01-17,1,Benzina,"1.088,14","558,64","181,36","348,14","0,14"
2005-01-17,2,Gasolio auto,"1.004,31","403,21","167,38","433,72","-0,08"
2005-01-17,5,GPL,"551,88","156,62","91,98","303,28","-0,69"
2005-01-17,3,Gasolio riscaldamento,"952,42","403,21","158,74","390,47","4,48"
2005-01-17,6,O.C. fluido BTZ,"562,78","166,84","51,16","344,78","8,56"
2005-01-17,8,O.C. denso BTZ,"245,89","31,39",0,"214,5","7,52"
2005-01-24,1,Benzina,"1.090,01","558,64","181,67","349,7","1,87"
2005-01-24,2,Gasolio auto,"1.004,31","403,21","167,38","433,72",0
2005-01-24,5,GPL,"551,88","156,62","91,98","303,28",0
2005-01-24,3,Gasolio riscaldamento,"963,98","403,21","160,66","400,11","11,56"
2005-01-24,6,O.C. fluido BTZ,"573,42","166,84","52,13","354,45","10,64"
2005-01-24,8,O.C. denso BTZ,"243,84","31,39",0,"212,45","-2,05"
2005-01-31,1,Benzina,"1.132,11","558,64","188,68","384,79","42,1"
2005-01-31,2,Gasolio auto,"1.022,6","403,21","170,43","448,96","18,29"
2005-01-31,5,GPL,"551,88","156,62","91,98","303,28",0
2005-01-31,3,Gasolio riscaldamento,"972,95","403,21","162,16","407,58","8,97"
2005-01-31,6,O.C. fluido BTZ,"579,23","166,84","52,66","359,73","5,81"
2005-01-31,8,O.C. denso BTZ,"242,53","31,39",0,"211,14","-1,31"
2005-02-07,1,Benzina,"1.135,87","558,64","189,31","387,92","3,76"
2005-02-07,2,Gasolio auto,"1.022,67","403,21","170,44","449,02","0,07"
2005-02-07,5,GPL,"551,88","156,62","91,98","303,28",0
2005-02-07,3,Gasolio riscaldamento,"955,66","403,21","159,28","393,17","-17,29"
2005-02-07,6,O.C. fluido BTZ,"565,28","166,84","51,39","347,05","-13,95"
2005-02-07,8,O.C. denso BTZ,"250,24","31,39",0,"218,85","7,71"
2005-02-14,1,Benzina,"1.135,88","558,64","189,31","387,93","0,01"
2005-02-14,2,Gasolio auto,"1.022,46","403,21","170,41","448,84","-0,21"
2005-02-14,5,GPL,"551,88","156,62","91,98","303,28",0
2005-02-14,3,Gasolio riscaldamento,"963,5","403,21","160,58","399,71","7,84"
2005-02-14,6,O.C. fluido BTZ,"567,19","166,84","51,56","348,79","1,91"
2005-02-14,8,O.C. denso BTZ,"246,86","31,39",0,"215,47","-3,38"
2005-02-21,1,Benzina,"1.136,04","558,64","189,34","388,06","0,16"
2005-02-21,2,Gasolio auto,"1.022,79","403,21","170,46","449,12","0,33"
2005-02-21,5,GPL,"551,88","156,62","91,98","303,28",0
2005-02-21,3,Gasolio riscaldamento,"968,29","403,21","161,38","403,7","4,79"
2005-02-21,6,O.C. fluido BTZ,"567,01","166,84","51,55","348,62","-0,18"
2005-02-21,8,O.C. denso BTZ,"242,84","31,39",0,"211,45","-4,02"
2005-02-28,1,Benzina,"1.136,04",564,"189,34","382,7",0
2005-02-28,2,Gasolio auto,"1.022,85",413,"170,47","439,38","0,06"
2005-02-28,5,GPL,"551,88","156,62","91,98","303,28",0
2005-02-28,3,Gasolio riscaldamento,"989,42","403,21","164,9","421,31","21,13"
2005-02-28,6,O.C. fluido BTZ,"571,97","166,84",52,"353,13","4,96"
2005-02-28,8,O.C. denso BTZ,"258,17","31,39",0,"226,78","15,33"
2005-03-07,1,Benzina,"1.158,78",564,"193,13","401,65","22,74"
2005-03-07,2,Gasolio auto,"1.047,59",413,"174,6","459,99","24,74"
2005-03-07,5,GPL,"552,37","156,62","92,06","303,69","0,49"
2005-03-07,3,Gasolio riscaldamento,"1.012,05","403,21","168,67","440,17","22,63"
2005-03-07,6,O.C. fluido BTZ,"587,08","166,84","53,37","366,87","15,11"
2005-03-07,8,O.C. denso BTZ,"266,79","31,39",0,"235,4","8,62"
2005-03-14,1,Benzina,"1.185,9",564,"197,65","424,25","27,12"
2005-03-14,2,Gasolio auto,"1.072,72",413,"178,79","480,93","25,13"
2005-03-14,5,GPL,"553,56","156,62","92,26","304,68","1,19"
2005-03-14,3,Gasolio riscaldamento,1.007,"403,21","167,83","435,96","-5,05"
2005-03-14,6,O.C. fluido BTZ,"587,2","166,84","53,38","366,98","0,12"
2005-03-14,8,O.C. denso BTZ,"273,09","31,39",0,"241,7","6,3"
2005-03-21,1,Benzina,"1.185,98",564,"197,66","424,32","0,08"
2005-03-21,2,Gasolio auto,"1.072,86",413,"178,81","481,05","0,14"
2005-03-21,5,GPL,"553,56","156,62","92,26","304,68",0
2005-03-21,3,Gasolio riscaldamento,"1.014,9","403,21","169,15","442,54","7,9"
2005-03-21,6,O.C. fluido BTZ,"589,28","166,84","53,57","368,87","2,08"
2005-03-21,8,O.C. denso BTZ,"276,86","31,39",0,"245,47","3,77"
2005-04-04,1,Benzina,"1.187,92",564,"197,99","425,93","1,94"
2005-04-04,2,Gasolio auto,"1.074,63",413,"179,1","482,53","1,77"
2005-04-04,5,GPL,"553,56","156,62","92,26","304,68",0
